date,entry_time,direction,entry,sl,tp,exit_price,result,position_size,pnl_usd,account_balance
2025-04-08,2025-04-08 14:00:00+00:00,long,1.9553,1.9429551,1.9923347,1.9429551,loss,4575.892438553714,-56.48893456470171,2767.9577936703836
2025-04-09,2025-04-09 14:00:00+00:00,short,1.8354,1.8458439999999998,1.8040680000000002,1.8458439999999998,loss,5300.570267465359,-55.35915587340767,2712.5986377969757
2025-04-11,2025-04-11 14:00:00+00:00,short,2.0005,2.0133113,1.9620661000000013,2.0133113,loss,4234.696928175989,-54.25197275593951,2658.346665041036
2025-04-12,2025-04-12 14:00:00+00:00,short,2.1566,2.159157,2.1489290000000003,2.1489290000000003,win,20792.699765671638,159.50079990246218,2817.8474649434984
2025-04-14,2025-04-14 14:00:00+00:00,long,2.1387,2.1240737999999997,2.182578600000001,2.1240737999999997,loss,3853.150462790647,-56.35694929886997,2761.4905156446284
2025-04-15,2025-04-15 14:00:00+00:00,short,2.1594,2.1651629999999997,2.1421110000000017,2.1651629999999997,loss,9583.517319607354,-55.22981031289257,2706.260705331736
2025-04-16,2025-04-16 14:00:00+00:00,long,2.075,2.0636343,2.109097100000001,2.109097100000001,win,4762.154034211136,162.3756423199042,2868.6363476516403
2025-04-17,2025-04-17 14:00:00+00:00,short,2.096,2.1033011999999998,2.074096400000001,2.074096400000001,win,7857.985941083023,172.11818085909843,3040.754528510739
2025-04-18,2025-04-18 14:00:00+00:00,short,2.079,2.0819798999999994,2.0700603000000024,2.0700603000000024,win,20408.43336025703,182.44527171064433,3223.199800221383
2025-04-19,2025-04-19 14:00:00+00:00,short,2.0876,2.0919898999999997,2.0744303000000013,2.0744303000000013,win,14684.616051489407,193.39198801328303,3416.591788234666
2025-04-20,2025-04-20 14:00:00+00:00,long,2.0498,2.0467512,2.058946399999999,2.058946399999999,win,22412.698689549703,204.99550729407997,3621.587295528746
